channel_name,avg_title_sentiment,total_videos,avg_views,total_views,avg_comment_sentiment,std_comment_sentiment,total_comments,pct_positive,pct_negative,pct_neutral
Carl Capolingua,0.0,2,153.0,306,0.6880333333333333,0.22523770406691088,3.0,100.0,0.0,0.0
Finer Market Points,0.23206666666666667,3,2341.0,7023,0.5909899999999999,0.37279402251407173,10.0,90.0,10.0,0.0
Marcus Today,0.22710000000000002,7,1091.0,7637,0.5820000000000001,0.20025264043203023,2.0,100.0,0.0,0.0
Jason McIntosh __ Motion Trader,0.012645454545454545,11,2542.2727272727275,27965,0.5190176190476191,0.32409995522978696,210.0,88.09523809523809,5.238095238095238,6.666666666666667
Irene Zhu,0.4257666666666666,3,8003.0,24009,0.494878125,0.4369015115519412,32.0,78.125,6.25,15.625
Australian Investment Education,0.09885,4,6396.25,25585,0.40968333333333334,0.44613846777008864,12.0,58.333333333333336,8.333333333333332,33.33333333333333
Joyee Yang,0.1806,2,572624.0,1145248,0.40270576230492194,0.39166775827914385,833.0,69.5078031212485,8.643457382953182,21.84873949579832
Wealth Within,0.19841666666666666,12,8791.666666666666,105500,0.3937785714285714,0.45376647278577187,84.0,69.04761904761905,13.095238095238097,17.857142857142858
Bryan Invest,0.14366470588235297,17,131895.70588235295,2242227,0.37463266432513803,0.40343983878124867,1993.0,65.67987957852483,8.680381334671349,25.639739086803814
Raymond La,0.33225000000000005,10,52658.6,526586,0.3635283783783784,0.43741974815496604,370.0,65.4054054054054,11.891891891891893,22.702702702702705
Rask,0.16250833333333334,24,38089.375,914145,0.3624440860215054,0.4370873910070269,372.0,66.12903225806451,12.903225806451612,20.967741935483872
Kapitales Research Australia,-0.13154375,48,116.125,5574,0.3612,,1.0,100.0,0.0,0.0
Tracey Edwards,0.573125,4,20138.0,80552,0.3534580882352941,0.4189838385560152,136.0,66.17647058823529,12.5,21.323529411764707
Davie Mach,0.0,2,147692.5,295385,0.3277170068027211,0.41493617637199615,147.0,63.94557823129252,15.646258503401361,20.408163265306122
Brent Coleman,0.151725,4,10541.5,42166,0.31605641025641024,0.4819025763055563,39.0,61.53846153846154,23.076923076923077,15.384615384615385
Humphrey Yang,0.00645,4,975120.25,3900481,0.3059225320271289,0.4417481339614698,1327.0,62.471740768651095,15.22230595327807,22.305953278070838
Invest With Queenie,0.36155,6,46209.833333333336,277259,0.3050723484848485,0.42879987163815375,264.0,57.95454545454546,13.636363636363635,28.40909090909091
Equity Mates,0.1588153846153846,26,6964.653846153846,181081,0.29395,0.4440647935933347,12.0,66.66666666666666,16.666666666666664,16.666666666666664
Nischa,0.0,3,819318.6666666666,2457956,0.2937068965517241,0.4546007449257027,1044.0,59.961685823754785,16.28352490421456,23.754789272030653
Craig Percoco,0.0,2,3058890.0,6117780,0.2822307180851064,0.43224925377690976,752.0,59.840425531914896,14.627659574468085,25.53191489361702
Livewire Markets,0.07627894736842106,19,6653.894736842105,126424,0.27878115942028986,0.42105080428241815,69.0,65.21739130434783,14.492753623188406,20.28985507246377
Morningstar Australia,0.29716666666666663,6,9974.0,59844,0.27405384615384615,0.4176496658499985,26.0,61.53846153846154,15.384615384615385,23.076923076923077
Steve | Call to Leap,0.0,4,1472680.0,5890720,0.24367922077922077,0.3948423976706315,2002.0,56.993006993006986,17.282717282717282,25.724275724275724
