channel_name,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,dominant_topic
ABC News (Australia),0,0,0,0,6,Topic_5
ASX,2,0,4,3,0,Topic_3
Australian Investment Education,1,0,1,1,1,Topic_1
Australian Property Mastery with PK Gupta,1,0,2,0,4,Topic_5
Bg Trading,0,1,1,0,1,Topic_2
Bloomberg Podcasts,0,0,0,0,2,Topic_5
Brent Coleman,1,0,0,0,3,Topic_5
Bryan Invest,6,0,6,2,3,Topic_1
Carl Capolingua,0,0,0,0,2,Topic_5
Centaur Financial Services,0,0,0,2,0,Topic_4
Craig Percoco,0,1,1,0,0,Topic_2
Davie Mach,0,0,0,0,2,Topic_5
ETF Insights Australia,2,0,0,1,0,Topic_1
ETFadviser (Australia),13,0,0,0,0,Topic_1
Equity Mates,9,0,9,0,8,Topic_1
Fear & Greed,0,2,0,0,1,Topic_2
Finanzlust_com,0,0,2,0,0,Topic_3
Finer Market Points,0,1,1,0,1,Topic_2
Gohar Khan,0,0,2,0,0,Topic_3
Humphrey Yang,0,0,2,0,1,Topic_3
Hứa Cường | Elliott Wave,0,0,0,4,0,Topic_4
Invest With Queenie,3,1,1,0,1,Topic_1
InvestLust_com,1,0,1,0,0,Topic_1
Irene Zhu,3,0,0,0,0,Topic_1
Jason McIntosh __ Motion Trader,0,0,8,3,0,Topic_3
Joyee Yang,0,0,2,0,0,Topic_3
Kalkine Media,0,0,0,0,2,Topic_5
Kapitales Research Australia,39,2,0,7,0,Topic_1
Livewire Markets,2,2,11,3,1,Topic_3
Marcus Today,4,0,0,1,2,Topic_1
Mark Tilbury,0,0,5,0,0,Topic_3
Morningstar Australia,3,0,2,0,1,Topic_1
Nischa,0,0,1,0,2,Topic_5
Personal Finance with Ravi Sharma,0,0,2,0,0,Topic_3
Petes Investing,0,0,0,5,0,Topic_4
RETIRE SAVY,0,0,0,0,2,Topic_5
Rask,8,0,13,0,3,Topic_3
Raymond La,6,0,1,2,1,Topic_1
Rentvest Buyers Agency,1,0,1,0,0,Topic_1
Ricardo Goncalves,0,0,0,0,2,Topic_5
Ryne Williams,2,0,0,0,0,Topic_1
Sky News Australia,2,0,1,3,9,Topic_5
Solve Accounting,2,0,0,0,0,Topic_1
Steve | Call to Leap,3,0,1,0,0,Topic_1
Stock Binge,1,2,0,0,0,Topic_2
The Ramsey Show Highlights,0,1,1,0,0,Topic_2
Tracey Edwards,4,0,0,0,0,Topic_1
Under the Radar Report,1,1,1,0,0,Topic_1
Universe Data,0,0,0,3,0,Topic_4
Veye Australia,2,15,0,0,0,Topic_2
Walk The World,0,0,0,0,2,Topic_5
Wealth Within,3,3,2,0,4,Topic_5
ausbiz,6,1,19,0,10,Topic_3
