channel_name,degree,strength,degree_centrality,betweenness,eigenvector,clustering,pagerank,total_views,avg_views,video_count,topic_label,avg_sentiment
Bryan Invest,26,209,0.7222222222222222,0.1096624979958313,0.4222122042671011,0.040426449336947314,0.12239063370851815,2242227,131895.70588235295,17,ETF & Dividends,0.14366470588235297
Raymond La,21,121,0.5833333333333333,0.03156714537666919,0.30523317951655504,0.04037217807179577,0.07244758261720462,526586,52658.6,10,ETF & Dividends,0.33225000000000005
Rask,21,116,0.5833333333333333,0.07190808309855931,0.22985363742570372,0.04200193195075771,0.07373491169342312,914145,38089.375,24,Beginner & Education,0.16250833333333334
Invest With Queenie,19,76,0.5277777777777778,0.03649167411072173,0.18174010735312857,0.034854719534179776,0.047470352276415405,277259,46209.833333333336,6,ETF & Dividends,0.36155
Humphrey Yang,18,144,0.5,0.009257541400398545,0.3714265801853433,0.05940213624651164,0.06859858493938957,3361895,1120631.6666666667,3,Beginner & Education,0.0086
Steve | Call to Leap,17,139,0.4722222222222222,0.05432740099406766,0.3792286876936126,0.06138040904023702,0.06634542432719598,5890720,1472680.0,4,ETF & Dividends,0.0
Nischa,17,68,0.4722222222222222,0.05761927666689571,0.17784012652081352,0.039833788039474946,0.036607320164453575,2457956,819318.6666666666,3,ASX Blue Chips,0.0
Mark Tilbury,16,165,0.4444444444444444,0.03376108018965162,0.41484452213988204,0.06796636139153207,0.07877559347098564,24029666,4805933.2,5,Beginner & Education,0.18296
Brent Coleman,14,28,0.38888888888888884,0.026694266932362175,0.062390975517907156,0.034356842386609625,0.019813462944389428,42166,10541.5,4,ASX Blue Chips,0.151725
Tracey Edwards,14,63,0.38888888888888884,0.017262534643487024,0.12808433390333981,0.0528830655794466,0.04011029994992309,80552,20138.0,4,ETF & Dividends,0.573125
Morningstar Australia,13,25,0.3611111111111111,0.04827011612725899,0.05712403198661046,0.03493254166007753,0.018317014491055012,59844,9974.0,6,ETF & Dividends,0.29716666666666663
Jason McIntosh __ Motion Trader,13,24,0.3611111111111111,0.07394718156622918,0.03937876090391124,0.02853386998761903,0.02054184837659745,27965,2542.2727272727275,11,Beginner & Education,0.012645454545454545
Wealth Within,13,31,0.3611111111111111,0.0914104766485719,0.046354330242093275,0.03127486028489519,0.02851119200112812,105500,8791.666666666666,12,ASX Blue Chips,0.19841666666666666
Irene Zhu,12,20,0.3333333333333333,0.030261000022904782,0.04325605021760096,0.03191399693878882,0.01570646218183074,24009,8003.0,3,ETF & Dividends,0.4257666666666666
The Ramsey Show Highlights,11,57,0.3055555555555555,0.03751013536727822,0.18088368549981113,0.06888299458487059,0.028863821074976207,6934682,3467341.0,2,Stock Research,0.2202
Livewire Markets,11,33,0.3055555555555555,0.026376463043129707,0.04929543429695098,0.045562029293546524,0.025753741364841168,126424,6653.894736842105,19,Beginner & Education,0.07627894736842106
ausbiz,9,21,0.25,0.013510959939531367,0.03266900123310982,0.045112500308777975,0.017040421212459127,31665,879.5833333333334,36,Beginner & Education,0.048425
Veye Australia,9,10,0.25,0.04484207150873818,0.02227678332250218,0.03169124508609484,0.009869499761184964,19759,1162.2941176470588,17,Stock Research,0.3366823529411765
Davie Mach,9,26,0.25,0.03194885361552028,0.0736204197860359,0.04208335501944613,0.019025467794315017,295385,147692.5,2,ASX Blue Chips,0.0
ETFadviser (Australia),9,16,0.25,0.006366843033509699,0.03851888933742164,0.04228389980378066,0.01280356322753181,39247,3019.0,13,ETF & Dividends,0.1162076923076923
Joyee Yang,9,66,0.25,0.012301587301587301,0.18443264245768892,0.09912430288490652,0.03277466996574469,1145248,572624.0,2,Beginner & Education,0.1806
