video_id,channel_id,channel_name,title,description,published_at,view_count,like_count,comment_count,has_transcript,transcript_word_count,title_clean,description_clean,pub_date,pub_date_norm,asx_return_T0,asx_return_T1,asx_return_T3,asx_close_T0
iTdXg_qIfbs,UC0D00xHLeJ5X7Cb3G7nfL6g,Raymond La,The BEST Beginners Guide To Investing In ETFs in Australia (step-by-step),I'll show you the easiest way to invest in the Australian ASX stock market as a beginner through ETF investing. ▽ ▽ MOOMOO ...,2024-10-30 07:54:24+00:00,119513,3048,331,False,0,The BEST Beginners Guide To Investing In ETFs in Australia (step-by-step),I'll show you the easiest way to invest in the Australian ASX stock market as a beginner through ETF investing. MOOMOO .,2024-10-30,2024-10-30,-0.008340238003660683,-0.0024937536779717773,0.00564126398858944,8180.39990234375
KbRaDmAjSEY,UC6_HYRP3E1KpJVg3ra7p3gQ,Bryan Invest,How To Start Investing in Australia with $500 in 2026 (Beginner&#39;s Stock Market Step by Step Guide),"In this video, I'll show you how to invest in the stock market as a beginner in Australia this year starting with just $500.",2025-02-03 09:27:29+00:00,342666,6321,1140,False,0,How To Start Investing in Australia with $500 in 2026 (Beginner&#39;s Stock Market Step by Step Guide),"In this video, I'll show you how to invest in the stock market as a beginner in Australia this year starting with just $500.",2025-02-03,2025-02-03,-0.01792007050414468,-0.0006444841364833254,0.012332307603772463,8379.400390625
pyQ7FpsaTBs,UC0D00xHLeJ5X7Cb3G7nfL6g,Raymond La,Deciding to Invest Between the ASX or S&amp;P500? (watch this video first!),"If you're deciding between investing in the ASX or the S&P500, than did you know that the ASX has been underperforming against ...",2024-08-27 09:46:40+00:00,8823,223,33,False,0,Deciding to Invest Between the ASX or S&amp;P500? (watch this video first!),"If you're deciding between investing in the ASX or the S&P500, than did you know that the ASX has been underperforming against .",2024-08-27,2024-08-27,-0.001645099225369484,2.4743164141360907e-05,0.005817181156159146,8071.2001953125
2jC_NleSFGY,UC9zht-CIH1GqiO8dJ7BRRGQ,Morningstar Australia,ASX Stocks to Buy and Hold Forever: Your Ultimate Long-Term Investment,Discover ASX stocks that you can buy and hold for the long term. From established companies with economic moats to those ...,2024-09-12 00:54:30+00:00,29700,350,30,False,0,ASX Stocks to Buy and Hold Forever: Your Ultimate Long-Term Investment,Discover ASX stocks that you can buy and hold for the long term. From established companies with economic moats to those .,2024-09-12,2024-09-12,0.010991661643505068,0.0029966079034604576,0.0023763549615143376,8075.7001953125
Vb-rKMhPmAE,UC0D00xHLeJ5X7Cb3G7nfL6g,Raymond La,I Compare Australia&#39;s 5 Most Popular STOCK INVESTING Brokerage Apps (don’t choose wrong),I compare the 5 best online stock brokers in Australia that allow you to invest in ASX and US stocks. We compare Commsec ...,2024-09-24 08:57:13+00:00,148403,2318,244,False,0,I Compare Australia&#39;s 5 Most Popular STOCK INVESTING Brokerage Apps (dont choose wrong),I compare the 5 best online stock brokers in Australia that allow you to invest in ASX and US stocks. We compare Commsec .,2024-09-24,2024-09-24,-0.0013369356271155652,-0.0019160031510991882,0.0010361178245954505,8142.0
auxJjJKlleI,UCOYBaRNdosHLQvIZc1DNHDg,Invest With Queenie,6 Best High Dividend ETFs in Australia Right Now,Thanks to Pearler for sponsoring this video! You can use my code QUEENIE for a $20 credit (not an affiliate link): ...,2024-08-21 08:00:05+00:00,112507,1670,219,False,0,6 Best High Dividend ETFs in Australia Right Now,Thanks to Pearler for sponsoring this video! You can use my code QUEENIE for a $20 credit (not an affiliate link): .,2024-08-21,2024-08-21,0.001600435672120204,0.002059796517071444,0.007552449356770907,8010.5
Nknyg_sRjxU,UC9zht-CIH1GqiO8dJ7BRRGQ,Morningstar Australia,Best Investing Books &amp; Our ASX Stock Pick for Christmas 2024,"In our Christmas special episode, Mark and Shani exchange carefully selected gifts to celebrate the year ahead, reveal their top ...",2024-12-14 19:00:10+00:00,1600,39,5,False,0,Best Investing Books &amp; Our ASX Stock Pick for Christmas 2024,"In our Christmas special episode, Mark and Shani exchange carefully selected gifts to celebrate the year ahead, reveal their top .",2024-12-14,2024-12-14,,-0.0056051108968177,-0.0005532366339908723,
3aK3L8WmszE,UCvOPFdkhCBIK2Y5QbDtOZXA,Rask,Our TOP lessons from 10 years of ETF investing in Australia,"Investing can be simple: in fact, simple is quite often the best approach. Kate & Owen share what they've learnt during their ETF ...",2024-04-08 05:00:04+00:00,115514,1622,211,False,0,Our TOP lessons from 10 years of ETF investing in Australia,"Investing can be simple: in fact, simple is quite often the best approach. Kate & Owen share what they've learnt during their ETF .",2024-04-08,2024-04-08,0.0020326365077572017,0.004506309742612125,-0.004446697119672494,7789.10009765625
imfQFAC58zo,UCgkkESqTRrWDFB4hcvDi-lw,ETF Insights Australia,🤑 The Top 5 ASX ETFs Paying MONTHLY Income (Passive Portfolio Builder),"G'day legends! In today's video, we're building the ultimate passive income portfolio right here on the Australian Stock ...",2025-10-21 08:38:04+00:00,5392,0,0,False,0,The Top 5 ASX ETFs Paying MONTHLY Income (Passive Portfolio Builder),"G'day legends! In today's video, we're building the ultimate passive income portfolio right here on the Australian Stock .",2025-10-21,2025-10-21,0.006953110859447165,-0.0071140547706946,-0.0015277438873757543,9094.7001953125
HLxo7A4WVCU,UC0D00xHLeJ5X7Cb3G7nfL6g,Raymond La,These are the 9 Most Invested ETFs in 2026 By Australians,These are the 9 most invested ETFs in Australia last year. These are the best ETFs that you could consider investing into.,2025-04-17 09:55:01+00:00,27079,464,80,False,0,These are the 9 Most Invested ETFs in 2026 By Australians,These are the 9 most invested ETFs in Australia last year. These are the best ETFs that you could consider investing into.,2025-04-17,2025-04-17,0.007758857063527191,-0.00030692820321731595,0.006022371733160892,7819.10009765625
bxEFM8-0Omo,UCvOPFdkhCBIK2Y5QbDtOZXA,Rask,"I invested $100,000 in ASX ETFs… and got lucky #asx200 #investing",Soooo... funny story. This week l invested $100000 in one lump sum into our Rask Invest platform. But there was a twist.,2025-04-08 20:58:08+00:00,59032,422,47,False,0,"I invested $100,000 in ASX ETFs and got lucky #asx200 #investing",Soooo. funny story. This week l invested $100000 in one lump sum into our Rask Invest platform. But there was a twist.,2025-04-08,2025-04-08,0.02270099270713266,-0.01797603195739017,-0.00818461358007827,7510.0
4lLk8rgNXEQ,UCvOPFdkhCBIK2Y5QbDtOZXA,Rask,Raiz Invest Ltd (ASX:RZI): How micro-investing in Australia became $1.7 billion,"In this Australian Investors Podcast episode, your host Owen Rask, Chief Investment Officer of Rask Invest, speaks with Brendan ...",2025-02-24 06:46:11+00:00,3260,64,4,False,0,Raiz Invest Ltd (ASX:RZI): How micro-investing in Australia became $1.7 billion,"In this Australian Investors Podcast episode, your host Owen Rask, Chief Investment Officer of Rask Invest, speaks with Brendan .",2025-02-24,2025-02-24,0.0014464453264737553,-0.006776414068508374,0.0033370950705915448,8308.2001953125
bbpM_gzGQpk,UC9HnXavh2BIj5VQctuhArjQ,Veye Australia,Top 5 ASX Stocks Poised for Gains in 2026,"About Veye | Daily Stock Market Analysis & Premium Reports Welcome to Veye, Australia's trusted source for independent equity ...",2025-11-24 08:12:32+00:00,2946,8,0,False,0,Top 5 ASX Stocks Poised for Gains in 2026,"About Veye | Daily Stock Market Analysis & Premium Reports Welcome to Veye, Australia's trusted source for independent equity .",2025-11-24,2025-11-24,0.012903179394641473,0.0013959239387553168,0.0014756515787486268,8525.099609375
oicS8N0t814,UC-1mIBRgRAIFpZ2A6_kUrlA,Marcus Today,Australia&#39;s 2024 Investment Mistakes #aud #australiandollar #asx,"Our strategy portfolio crushed it in 2024, and the reason? We avoided the mistake most Australian investors made—staying too ...",2025-01-30 07:30:18+00:00,162,1,0,False,0,Australia&#39;s 2024 Investment Mistakes #aud #australiandollar #asx,"Our strategy portfolio crushed it in 2024, and the reason? We avoided the mistake most Australian investors madestaying too .",2025-01-30,2025-01-30,0.012205470507280713,-0.002081824247752939,-0.0006444841364833254,8550.099609375
sy-IPBV-6kU,UCnyVuY5IqwgbGmwolhxd1vQ,Irene Zhu,Best Investing Apps to Buy ASX Shares,"To buy domestic Australian shares & ETFs, there are 20+ online brokers available on the market. What is the best investing apps ...",2024-03-31 06:15:05+00:00,4840,114,25,False,0,Best Investing Apps to Buy ASX Shares,"To buy domestic Australian shares & ETFs, there are 20+ online brokers available on the market. What is the best investing apps .",2024-03-31,2024-03-31,,-0.0011396877396570027,0.0044715457356248045,
iLVtCGS44mo,UCUTBGhs_c0RzjHHP2-ndhyQ,ETFadviser (Australia),ASX Dividends Made Easy #etf #investing #etfs #etf #asx #dividendstocks #dividendinvesting,Which is the easiest way to get exposure to dividend paying high yield shares on the Australian stock exchange? ETF's or direct ...,2025-05-29 06:01:39+00:00,1549,27,15,False,0,ASX Dividends Made Easy #etf #investing #etfs #etf #asx #dividendstocks #dividendinvesting,Which is the easiest way to get exposure to dividend paying high yield shares on the Australian stock exchange? ETF's or direct .,2025-05-29,2025-05-29,0.001536211394969289,0.0029608779285235087,0.006251481249270219,8409.7998046875
wlUXdrSFxAQ,UCvOPFdkhCBIK2Y5QbDtOZXA,Rask,Top 20 traded ASX shares [2024],"In this Australian Investors Podcast episode your host Owen Rask speak with Doug Morris, the CEO of Sharesight, to discuss the ...",2024-12-09 05:12:06+00:00,1615,44,7,False,0,Top 20 traded ASX shares [2024],"In this Australian Investors Podcast episode your host Owen Rask speak with Doug Morris, the CEO of Sharesight, to discuss the .",2024-12-09,2024-12-09,0.0002493331208783811,-0.0035616763623411707,-0.002789193374955534,8423.0
DwJ7Bl-dGaw,UC9HnXavh2BIj5VQctuhArjQ,Veye Australia,Top Upcoming ASX Dividend Stocks to Buy in August 2024,Investors have been riding on the rise and rise of the global indexes. Suddenly the ASX markets have turned topsy turvy because ...,2024-08-12 07:24:36+00:00,757,7,3,False,0,Top Upcoming ASX Dividend Stocks to Buy in August 2024,Investors have been riding on the rise and rise of the global indexes. Suddenly the ASX markets have turned topsy turvy because .,2024-08-12,2024-08-12,0.004628617598515294,0.0016764924488474886,0.0018851572877967016,7813.7001953125
-qWpL9Cc-CM,UCdLzNzag8APY4tx6GHYN2Lg,Livewire Markets,Airlie Funds Management&#39;s Will Granger&#39;s tips for #smallcapstocks on the #asx  #investing,Airlie Funds Management's Will Granger shared his views on investing in ASX Small Caps for Livewire's Undiscovered Funds ...,2024-05-06 00:30:39+00:00,1568,21,0,False,0,Airlie Funds Management&#39;s Will Granger&#39;s tips for #smallcapstocks on the #asx #investing,Airlie Funds Management's Will Granger shared his views on investing in ASX Small Caps for Livewire's Undiscovered Funds .,2024-05-06,2024-05-06,0.006999593963002981,0.014435580515655966,-0.010622064494041905,7682.39990234375
4ObNjL4_ELg,UC9zht-CIH1GqiO8dJ7BRRGQ,Morningstar Australia,A Vanguard ETF Deep Dive: The Multi-Asset ASX Investment Strategy Explained,"Vanguard Diversified High Growth ETF (ASX: VDHG) is a multi-asset all-in-one ETF. In this podcast episode, Mark and Shani ...",2024-09-29 01:35:33+00:00,2532,38,4,False,0,A Vanguard ETF Deep Dive: The Multi-Asset ASX Investment Strategy Explained,"Vanguard Diversified High Growth ETF (ASX: VDHG) is a multi-asset all-in-one ETF. In this podcast episode, Mark and Shani .",2024-09-29,2024-09-29,,0.007013907114426843,-0.0013034870449543101,
WNihQ1DKdjs,UCVgO39Bk5sMo66-6o6Spn6Q,ABC News (Australia),"US markets bet on Fed Reserve chair replacement, ASX slides on Metcash, AUB and CSL | ABC NEWS","The Australian share market had its first fall in six sessions, including a two-hour outage of market sensitive ASX anouncements ...",2025-12-01 07:24:29+00:00,27731,313,0,False,0,"US markets bet on Fed Reserve chair replacement, ASX slides on Metcash, AUB and CSL | ABC NEWS","The Australian share market had its first fall in six sessions, including a two-hour outage of market sensitive ASX anouncements .",2025-12-01,2025-12-01,-0.005676671536196443,0.0016928967997660305,0.002699203600301514,8565.2001953125
N-IszN_lZqk,UC-1mIBRgRAIFpZ2A6_kUrlA,Marcus Today,Will Investing in the Australian Market Lead to High Returns?,Marcus compares the US Market to the Australian Market. What will make the Australian market worth investing in? Sign up for a ...,2024-06-19 08:00:20+00:00,532,10,0,False,0,Will Investing in the Australian Market Lead to High Returns?,Marcus compares the US Market to the Australian Market. What will make the Australian market worth investing in? Sign up for a .,2024-06-19,2024-06-19,-0.00107994269015399,-3.864923500285222e-05,-0.007991252525333503,7769.7001953125
laCdAdMLGpo,UC9HnXavh2BIj5VQctuhArjQ,Veye Australia,Three companies to BUY Before FY24 #asx #stocks #shorts,Veye is a leading independent equities research firm dedicated to helping its clients improve their investment results through ...,2024-06-13 10:56:52+00:00,620,10,0,False,0,Three companies to BUY Before FY24 #asx #stocks #shorts,Veye is a leading independent equities research firm dedicated to helping its clients improve their investment results through .,2024-06-13,2024-06-13,0.004432660917957465,-0.003277596550169015,0.010103540763619412,7749.7001953125
